H|1402|892.18|
B|468|8681598|210203482|1|86|Minute|LONG DISTANCE|L8R|0.43|USD|2012-01-08 17:57:37|2012-01-08 19:23:10|MTN|OX2AS||9058927034|18008999949||Participant 1|
N|468|8681598|210203482|2|86|Minute|PACKAGE SURCHARGE|RDYA|0.86|USD|2012-01-08 17:57:37|2012-01-08 19:23:10|MTN|OX2AS||9058927034|18008999949||Participant 1|
B|468|8681598|210203482|19|60|Minute|LONG DISTANCE|L8R|0.30|USD|2012-01-08 18:23:46|2012-01-08 19:23:13|MTN|OX2AS||6154232212|18008999949||Participant 10|
N|468|8681598|210203482|20|60|Minute|PACKAGE SURCHARGE|RDYA|0.60|USD|2012-01-08 18:23:46|2012-01-08 19:23:13|MTN|OX2AS||6154232212|18008999949||Participant 10|
B|468|8681598|210203482|3|84|Minute|LONG DISTANCE|L8R|0.42|USD|2012-01-08 17:59:20|2012-01-08 19:23:15|MTN|OX2AS||8434709022|18008999949||Participant 2|
N|468|8681598|210203482|4|84|Minute|PACKAGE SURCHARGE|RDYA|0.84|USD|2012-01-08 17:59:20|2012-01-08 19:23:15|MTN|OX2AS||8434709022|18008999949||Participant 2|
B|468|8681598|210203482|7|7|Minute|LONG DISTANCE|L8R|0.04|USD|2012-01-08 18:00:53|2012-01-08 18:07:00|MTN|OX2AS||4192024758|18008999949||Participant 4|
N|468|8681598|210203482|8|7|Minute|PACKAGE SURCHARGE|RDYA|0.07|USD|2012-01-08 18:00:53|2012-01-08 18:07:00|MTN|OX2AS||4192024758|18008999949||Participant 4|
B|468|8681598|210203482|9|82|Minute|LONG DISTANCE|L8R|0.41|USD|2012-01-08 18:01:07|2012-01-08 19:23:01|MTN|OX2AS||4198670446|18008999949||Participant 5|
N|468|8681598|210203482|10|82|Minute|PACKAGE SURCHARGE|RDYA|0.82|USD|2012-01-08 18:01:07|2012-01-08 19:23:01|MTN|OX2AS||4198670446|18008999949||Participant 5|
B|468|8681598|210203482|11|81|Minute|LONG DISTANCE|L8R|0.41|USD|2012-01-08 18:02:44|2012-01-08 19:23:01|MTN|OX2AS||6103243307|18008999949||Participant 6|
N|468|8681598|210203482|12|81|Minute|PACKAGE SURCHARGE|RDYA|0.81|USD|2012-01-08 18:02:44|2012-01-08 19:23:01|MTN|OX2AS||6103243307|18008999949||Participant 6|
B|468|8681598|210203482|13|79|Minute|LONG DISTANCE|L8R|0.40|USD|2012-01-08 18:05:09|2012-01-08 19:23:10|MTN|OX2AS||3188019554|18008999949||Participant 7|
N|468|8681598|210203482|14|79|Minute|PACKAGE SURCHARGE|RDYA|0.79|USD|2012-01-08 18:05:09|2012-01-08 19:23:10|MTN|OX2AS||3188019554|18008999949||Participant 7|
B|468|8681598|210203482|15|74|Minute|LONG DISTANCE|L8R|0.37|USD|2012-01-08 18:09:33|2012-01-08 19:23:04|MTN|OX2AS||4192024758|18008999949||Participant 8|
N|468|8681598|210203482|16|74|Minute|PACKAGE SURCHARGE|RDYA|0.74|USD|2012-01-08 18:09:33|2012-01-08 19:23:04|MTN|OX2AS||4192024758|18008999949||Participant 8|
B|468|8681598|210203482|17|72|Minute|LONG DISTANCE|LDR|0.36|USD|2012-01-08 18:11:56|2012-01-08 19:23:27|MTN|OX2AS|||3039913622||RECORDER|
N|468|8681598|210203482|18|72|Minute|PACKAGE SURCHARGE|RDYA|0.72|USD|2012-01-08 18:11:56|2012-01-08 19:23:27|MTN|OX2AS|||3039913622||RECORDER|
M|468|8681598|ALL CONFERENCING|356177|598151|ALL CONFERENCING|1579639|ALL CONFERENCING, 10478|3026365454||SUITE 200|11833 MISSISSIPPI AVENUE||LOS ANGELES||CA|900256136||||000000000|DIRE|11|10478||||N|N|N|N|N|N|00|N|N|
C|468|8681598|210162424|||2011-11-17 15:27:03|MTN|2011-11-17 15:27:03|MTN||||||0|779780|8008999949|1354255|
